# Format: title, yearRead (optional), seriesOverride (optional), seriesPosition (optional), isbn (optional)
# Lines starting with # are comments.
# Use quotes around titles that contain commas.

# Series

# dune series
Dune,2022
Dune Messiah,2022
Children of Dune,2022
God Emperor of Dune,2022
Heretics of Dune,2022,Dune,5
Chapterhouse Dune,2022,Dune,6

# expanse
Leviathan Wakes,2025
Caliban's War,2025
Abaddon's Gate,2025,The Expanse,3
Cibola Burn,2025
Nemesis Games,2025
Babylon's Ashes,2025
Persepolis Rising,2025
Tiamat's Wrath,2025
Leviathan Falls,2025

# hitchhikers's guide to the galaxy
The Hitchhiker's Guide to the Galaxy
The Restaurant at the End of the Universe
"Life, the Universe and Everything"
"So Long, and Thanks for All the Fish"
Mostly Harmless

# ready player one
Ready Player One
Ready Player Two

# LBJ
The Path to Power,2025,The Years of Lyndon Johnson,1
Means of Ascent,2025,The Years of Lyndon Johnson,2
Master of the Senate,2026*,The Years of Lyndon Johnson,3

# malcolm gladwell
Revenge of the Tipping Point
The Bomber Mafia
Talking to Strangers
Outliers
Blink
The Tipping Point

# Jack Reacher
killing floor
die trying
tripwire
running blind
the enemy
one shot
nothing to lose

# Fiction — Standalone
The Martian
Artemis
Project Hail Mary

# Non-Fiction
The power broker: Robert Moses and the fall of New York
The Wager
The Wide Wide Sea
The Fabric of Civilization
Blood and Thunder
How Big Things Get Done,,,,9781035018949
